,ST,CB,PB,GO,CA,RETURN,VOLAT
0,0,0,0,0,100,-6.69,3.32
1,0,0,0,20,80,-0.57,4.22
2,0,0,0,40,60,5.56,5.11
3,0,0,0,60,40,11.67,6.01
4,0,0,0,80,20,17.8,6.91
5,0,0,0,100,0,23.9,7.8
6,0,0,20,0,80,-5.31,2.98
7,0,0,20,20,60,0.82,3.87
8,0,0,20,40,40,6.93,4.77
9,0,0,20,60,20,13.06,5.67
10,0,0,20,80,0,19.17,6.56
11,0,0,40,0,60,-3.92,2.63
12,0,0,40,20,40,2.19,3.53
13,0,0,40,40,20,8.32,4.43
14,0,0,40,60,0,14.43,5.33
15,0,0,60,0,40,-2.54,2.29
16,0,0,60,20,20,3.58,3.19
17,0,0,60,40,0,9.69,4.09
18,0,0,80,0,20,-1.16,1.95
19,0,0,80,20,0,4.96,2.85
20,0,0,100,0,0,0.22,1.61
21,0,20,0,0,80,-4.57,3.09
22,0,20,0,20,60,1.56,3.99
23,0,20,0,40,40,7.67,4.89
24,0,20,0,60,20,13.8,5.79
25,0,20,0,80,0,19.91,6.68
26,0,20,20,0,60,-3.18,2.75
27,0,20,20,20,40,2.93,3.65
28,0,20,20,40,20,9.06,4.55
29,0,20,20,60,0,15.17,5.44
30,0,20,40,0,40,-1.8,2.41
31,0,20,40,20,20,4.32,3.31
32,0,20,40,40,0,10.43,4.2
33,0,20,60,0,20,-0.42,2.07
34,0,20,60,20,0,5.7,2.97
35,0,20,80,0,0,0.96,1.73
36,0,40,0,0,60,-2.44,2.87
37,0,40,0,20,40,3.67,3.77
38,0,40,0,40,20,9.8,4.67
39,0,40,0,60,0,15.91,5.56
40,0,40,20,0,40,-1.06,2.53
41,0,40,20,20,20,5.06,3.43
42,0,40,20,40,0,11.17,4.32
43,0,40,40,0,20,0.32,2.19
44,0,40,40,20,0,6.44,3.08
45,0,40,60,0,0,1.7,1.84
46,0,60,0,0,40,-0.33,2.65
47,0,60,0,20,20,5.8,3.55
48,0,60,0,40,0,11.92,4.44
49,0,60,20,0,20,1.06,2.31
50,0,60,20,20,0,7.18,3.2
51,0,60,40,0,0,2.44,1.96
52,0,80,0,0,20,1.8,2.42
53,0,80,0,20,0,7.92,3.32
54,0,80,20,0,0,3.18,2.08
55,0,100,0,0,0,3.92,2.2
56,20,0,0,0,80,-4.32,4.23
57,20,0,0,20,60,1.8,5.13
58,20,0,0,40,40,7.91,6.03
59,20,0,0,60,20,14.04,6.93
60,20,0,0,80,0,20.15,7.82
61,20,0,20,0,60,-2.94,3.89
62,20,0,20,20,40,3.18,4.79
63,20,0,20,40,20,9.3,5.69
64,20,0,20,60,0,15.41,6.58
65,20,0,40,0,40,-1.56,3.55
66,20,0,40,20,20,4.56,4.45
67,20,0,40,40,0,10.67,5.34
68,20,0,60,0,20,-0.17,3.21
69,20,0,60,20,0,5.94,4.1
70,20,0,80,0,0,1.2,2.87
71,20,20,0,0,60,-2.2,4.01
72,20,20,0,20,40,3.92,4.91
73,20,20,0,40,20,10.04,5.81
74,20,20,0,60,0,16.15,6.7
75,20,20,20,0,40,-0.82,3.67
76,20,20,20,20,20,5.3,4.57
77,20,20,20,40,0,11.41,5.46
78,20,20,40,0,20,0.57,3.33
79,20,20,40,20,0,6.68,4.22
80,20,20,60,0,0,1.94,2.98
81,20,40,0,0,40,-0.08,3.79
82,20,40,0,20,20,6.04,4.69
83,20,40,0,40,0,12.15,5.58
84,20,40,20,0,20,1.31,3.45
85,20,40,20,20,0,7.42,4.34
86,20,40,40,0,0,2.68,3.1
87,20,60,0,0,20,2.04,3.56
88,20,60,0,20,0,8.16,4.46
89,20,60,20,0,0,3.42,3.22
90,20,80,0,0,0,4.16,3.34
91,40,0,0,0,60,-1.95,5.15
92,40,0,0,20,40,4.16,6.05
93,40,0,0,40,20,10.28,6.95
94,40,0,0,60,0,16.39,7.84
95,40,0,20,0,40,-0.57,4.81
96,40,0,20,20,20,5.55,5.71
97,40,0,20,40,0,11.66,6.6
98,40,0,40,0,20,0.81,4.47
99,40,0,40,20,0,6.92,5.36
100,40,0,60,0,0,2.19,4.12
101,40,20,0,0,40,0.17,4.93
102,40,20,0,20,20,6.29,5.82
103,40,20,0,40,0,12.39,6.72
104,40,20,20,0,20,1.55,4.59
105,40,20,20,20,0,7.66,5.48
106,40,20,40,0,0,2.93,4.24
107,40,40,0,0,20,2.29,4.7
108,40,40,0,20,0,8.4,5.6
109,40,40,20,0,0,3.67,4.36
110,40,60,0,0,0,4.41,4.48
111,60,0,0,0,40,0.4,6.07
112,60,0,0,20,20,6.53,6.96
113,60,0,0,40,0,12.65,7.86
114,60,0,20,0,20,1.79,5.72
115,60,0,20,20,0,7.91,6.62
116,60,0,40,0,0,3.17,5.38
117,60,20,0,0,20,2.53,5.84
118,60,20,0,20,0,8.65,6.74
119,60,20,20,0,0,3.91,5.5
120,60,40,0,0,0,4.65,5.62
121,80,0,0,0,20,2.77,6.98
122,80,0,0,20,0,8.89,7.88
123,80,0,20,0,0,4.15,6.64
124,80,20,0,0,0,4.89,6.76
125,100,0,0,0,0,5.13,7.9
