,Date,Price,Open,High,Low,Change %
0,"Dec 31, 2020",204.58,204.58,204.58,204.58,0.62%
1,"Dec 30, 2020",203.32,203.32,203.32,203.32,-0.33%
2,"Dec 29, 2020",204.0,204.0,204.0,204.0,-0.01%
3,"Dec 28, 2020",204.02,204.02,204.02,204.02,0.41%
4,"Dec 27, 2020",203.19,203.19,203.19,203.19,0.32%
5,"Dec 26, 2020",203.19,203.19,203.19,203.19,0.32%
6,"Dec 25, 2020",203.19,203.19,203.19,203.19,0.32%
7,"Dec 24, 2020",203.19,203.19,203.19,203.19,0.32%
8,"Dec 23, 2020",202.54,202.54,202.54,202.54,0.16%
9,"Dec 22, 2020",202.21,202.21,202.21,202.21,0.30%
10,"Dec 21, 2020",201.61,201.61,201.61,201.61,-0.62%
11,"Dec 20, 2020",202.86,202.86,202.86,202.86,-0.24%
12,"Dec 19, 2020",202.86,202.86,202.86,202.86,-0.24%
13,"Dec 18, 2020",202.86,202.86,202.86,202.86,-0.24%
14,"Dec 17, 2020",203.34,203.34,203.34,203.34,0.30%
15,"Dec 16, 2020",202.74,202.74,202.74,202.74,0.14%
16,"Dec 15, 2020",202.46,202.46,202.46,202.46,0.70%
17,"Dec 14, 2020",201.05,201.05,201.05,201.05,-0.23%
18,"Dec 13, 2020",201.51,201.51,201.51,201.51,0.01%
19,"Dec 12, 2020",201.51,201.51,201.51,201.51,0.01%
20,"Dec 11, 2020",201.51,201.51,201.51,201.51,0.01%
21,"Dec 10, 2020",201.49,201.49,201.49,201.49,-0.44%
22,"Dec 09, 2020",202.39,202.39,202.39,202.39,-0.29%
23,"Dec 08, 2020",202.97,202.97,202.97,202.97,0.40%
24,"Dec 07, 2020",202.16,202.16,202.16,202.16,-0.07%
25,"Dec 06, 2020",202.3,202.3,202.3,202.3,0.85%
26,"Dec 05, 2020",202.3,202.3,202.3,202.3,0.85%
27,"Dec 04, 2020",202.3,202.3,202.3,202.3,0.85%
28,"Dec 03, 2020",200.6,200.6,200.6,200.6,-0.38%
29,"Dec 02, 2020",201.37,201.37,201.37,201.37,-0.18%
30,"Dec 01, 2020",201.74,201.74,201.74,201.74,0.42%
31,"Nov 30, 2020",200.89,200.89,200.89,200.89,-0.80%
32,"Nov 29, 2020",202.51,202.51,202.51,202.51,0.12%
33,"Nov 28, 2020",202.51,202.51,202.51,202.51,0.12%
34,"Nov 27, 2020",202.51,202.51,202.51,202.51,0.12%
35,"Nov 26, 2020",202.27,202.27,202.27,202.27,0.03%
36,"Nov 25, 2020",202.21,202.21,202.21,202.21,-0.23%
37,"Nov 24, 2020",202.68,202.68,202.68,202.68,1.12%
38,"Nov 23, 2020",200.43,200.43,200.43,200.43,0.57%
39,"Nov 22, 2020",199.29,199.29,199.29,199.29,-0.36%
40,"Nov 21, 2020",199.29,199.29,199.29,199.29,-0.36%
41,"Nov 20, 2020",199.29,199.29,199.29,199.29,-0.36%
42,"Nov 19, 2020",200.01,200.01,200.01,200.01,0.43%
43,"Nov 18, 2020",199.15,199.15,199.15,199.15,-0.58%
44,"Nov 17, 2020",200.32,200.32,200.32,200.32,-0.44%
45,"Nov 16, 2020",201.2,201.2,201.2,201.2,1.13%
46,"Nov 15, 2020",198.95,198.95,198.95,198.95,0.82%
47,"Nov 14, 2020",198.95,198.95,198.95,198.95,0.82%
48,"Nov 13, 2020",198.95,198.95,198.95,198.95,0.82%
49,"Nov 12, 2020",197.34,197.34,197.34,197.34,-1.27%
50,"Nov 11, 2020",199.88,199.88,199.88,199.88,1.48%
51,"Nov 10, 2020",196.96,196.96,196.96,196.96,0.13%
52,"Nov 09, 2020",196.7,196.7,196.7,196.7,1.74%
53,"Nov 08, 2020",193.34,193.34,193.34,193.34,-0.25%
54,"Nov 07, 2020",193.34,193.34,193.34,193.34,-0.25%
55,"Nov 06, 2020",193.34,193.34,193.34,193.34,-0.25%
56,"Nov 05, 2020",193.83,193.83,193.83,193.83,1.07%
57,"Nov 04, 2020",191.77,191.77,191.77,191.77,2.17%
58,"Nov 03, 2020",187.69,187.69,187.69,187.69,1.21%
59,"Nov 02, 2020",185.44,185.44,185.44,185.44,1.37%
60,"Nov 01, 2020",182.93,182.93,182.93,182.93,-1.01%
61,"Oct 31, 2020",182.93,182.93,182.93,182.93,-1.01%
62,"Oct 30, 2020",182.93,182.93,182.93,182.93,-1.01%
63,"Oct 29, 2020",184.8,184.8,184.8,184.8,1.33%
64,"Oct 28, 2020",182.37,182.37,182.37,182.37,-2.39%
65,"Oct 27, 2020",186.83,186.83,186.83,186.83,-0.57%
66,"Oct 26, 2020",187.91,187.91,187.91,187.91,-1.52%
67,"Oct 25, 2020",190.82,190.82,190.82,190.82,0.33%
68,"Oct 24, 2020",190.82,190.82,190.82,190.82,0.33%
69,"Oct 23, 2020",190.82,190.82,190.82,190.82,0.33%
70,"Oct 22, 2020",190.2,190.2,190.2,190.2,0.53%
71,"Oct 21, 2020",189.19,189.19,189.19,189.19,-0.56%
72,"Oct 20, 2020",190.26,190.26,190.26,190.26,-0.09%
73,"Oct 19, 2020",190.44,190.44,190.44,190.44,-1.54%
74,"Oct 18, 2020",193.42,193.42,193.42,193.42,0.09%
75,"Oct 17, 2020",193.42,193.42,193.42,193.42,0.09%
76,"Oct 16, 2020",193.42,193.42,193.42,193.42,0.09%
77,"Oct 15, 2020",193.25,193.25,193.25,193.25,-0.21%
78,"Oct 14, 2020",193.65,193.65,193.65,193.65,-0.65%
79,"Oct 13, 2020",194.92,194.92,194.92,194.92,0.03%
80,"Oct 12, 2020",194.87,194.87,194.87,194.87,1.34%
81,"Oct 11, 2020",192.29,192.29,192.29,192.29,0.29%
82,"Oct 10, 2020",192.29,192.29,192.29,192.29,0.29%
83,"Oct 09, 2020",192.29,192.29,192.29,192.29,0.29%
84,"Oct 08, 2020",191.73,191.73,191.73,191.73,0.78%
85,"Oct 07, 2020",190.25,190.25,190.25,190.25,1.38%
86,"Oct 06, 2020",187.66,187.66,187.66,187.66,-0.86%
87,"Oct 05, 2020",189.28,189.28,189.28,189.28,1.18%
88,"Oct 04, 2020",187.08,187.08,187.08,187.08,-0.56%
89,"Oct 03, 2020",187.08,187.08,187.08,187.08,-0.56%
90,"Oct 02, 2020",187.08,187.08,187.08,187.08,-0.56%
91,"Oct 01, 2020",188.14,188.14,188.14,188.14,0.38%
