,Date,Price,Open,High,Low,Change %
0,"Dec 31, 2020",253.84,253.82,253.95,253.42,0.01%
1,"Dec 30, 2020",253.84,253.82,253.95,253.42,0.01%
2,"Dec 29, 2020",253.82,253.7,253.82,253.41,0.11%
3,"Dec 28, 2020",253.55,254.18,254.29,253.5,-0.25%
4,"Dec 27, 2020",254.18,254.9,255.1,253.67,-0.37%
5,"Dec 26, 2020",254.18,254.9,255.1,253.67,-0.37%
6,"Dec 25, 2020",254.18,254.9,255.1,253.67,-0.37%
7,"Dec 24, 2020",254.18,254.9,255.1,253.67,-0.37%
8,"Dec 23, 2020",254.18,254.9,255.1,253.67,-0.37%
9,"Dec 22, 2020",255.13,254.47,255.13,253.33,0.28%
10,"Dec 21, 2020",254.41,254.62,255.43,254.22,0.02%
11,"Dec 20, 2020",254.35,254.0,254.35,253.5,-0.06%
12,"Dec 19, 2020",254.35,254.0,254.35,253.5,-0.06%
13,"Dec 18, 2020",254.35,254.0,254.35,253.5,-0.06%
14,"Dec 17, 2020",254.5,254.4,254.85,254.31,-0.23%
15,"Dec 16, 2020",255.09,254.55,255.09,254.24,-0.05%
16,"Dec 15, 2020",255.23,255.15,255.77,255.01,-0.11%
17,"Dec 14, 2020",255.52,255.61,256.4,254.92,-0.13%
18,"Dec 13, 2020",255.84,255.51,256.19,255.51,0.17%
19,"Dec 12, 2020",255.84,255.51,256.19,255.51,0.17%
20,"Dec 11, 2020",255.84,255.51,256.19,255.51,0.17%
21,"Dec 10, 2020",255.41,255.23,255.81,254.88,-0.11%
22,"Dec 09, 2020",255.69,254.97,255.69,254.73,0.21%
23,"Dec 08, 2020",255.16,254.85,255.26,254.64,0.17%
24,"Dec 07, 2020",254.72,254.25,254.82,254.06,0.39%
25,"Dec 06, 2020",253.74,254.06,254.29,253.61,0.39%
26,"Dec 05, 2020",253.74,254.06,254.29,253.61,0.39%
27,"Dec 04, 2020",253.74,254.06,254.29,253.61,0.39%
28,"Dec 03, 2020",252.75,253.91,254.52,252.75,-1.13%
29,"Dec 02, 2020",255.63,254.68,255.63,253.91,0.17%
30,"Dec 01, 2020",255.2,257.1,257.11,255.19,-0.87%
31,"Nov 30, 2020",257.43,257.18,257.43,256.75,-0.05%
32,"Nov 29, 2020",257.57,257.72,258.78,257.24,-0.17%
33,"Nov 28, 2020",257.57,257.72,258.78,257.24,-0.17%
34,"Nov 27, 2020",257.57,257.72,258.78,257.24,-0.17%
35,"Nov 26, 2020",258.01,257.19,259.11,257.19,0.05%
36,"Nov 25, 2020",257.88,257.26,258.07,257.26,0.10%
