,Date,Price,Open,High,Low,Change %
0,"Dec 31, 2020",80.62,80.37,80.62,80.37,0.25%
1,"Dec 30, 2020",80.42,80.36,80.43,80.22,-0.54%
2,"Dec 29, 2020",80.86,81.21,81.21,80.63,0.93%
3,"Dec 28, 2020",80.11,80.34,80.39,79.72,-0.37%
4,"Dec 27, 2020",80.11,80.34,80.39,79.72,-0.37%
5,"Dec 26, 2020",80.11,80.34,80.39,79.72,-0.37%
6,"Dec 25, 2020",80.11,80.34,80.39,79.72,-0.37%
7,"Dec 24, 2020",80.11,80.34,80.39,79.72,-0.37%
8,"Dec 23, 2020",80.4,80.98,81.2,80.31,-1.20%
9,"Dec 22, 2020",81.39,80.99,81.42,80.76,0.00%
10,"Dec 21, 2020",81.39,81.96,81.98,81.53,0.89%
11,"Dec 20, 2020",80.67,80.47,80.75,80.44,0.71%
12,"Dec 19, 2020",80.67,80.47,80.75,80.44,0.71%
13,"Dec 18, 2020",80.67,80.47,80.75,80.44,0.71%
14,"Dec 17, 2020",80.11,80.19,80.31,79.82,-0.51%
15,"Dec 16, 2020",80.51,80.23,80.75,80.23,-0.31%
16,"Dec 15, 2020",80.76,81.64,81.64,80.72,-0.66%
17,"Dec 14, 2020",81.31,81.14,81.53,80.77,-0.95%
18,"Dec 13, 2020",82.08,82.23,82.39,82.01,0.71%
19,"Dec 12, 2020",82.08,82.23,82.39,82.01,0.71%
20,"Dec 11, 2020",82.08,82.23,82.39,82.01,0.71%
21,"Dec 10, 2020",81.51,81.71,81.71,81.19,0.84%
22,"Dec 09, 2020",80.83,80.8,80.86,80.37,-0.36%
23,"Dec 08, 2020",81.13,81.18,81.33,81.18,-0.01%
24,"Dec 07, 2020",81.14,81.53,81.71,81.32,1.06%
25,"Dec 06, 2020",80.29,80.92,80.92,80.09,-0.20%
26,"Dec 05, 2020",80.29,80.92,80.92,80.09,-0.20%
27,"Dec 04, 2020",80.29,80.92,80.92,80.09,-0.20%
28,"Dec 03, 2020",80.44,80.75,80.75,80.39,-0.61%
29,"Dec 02, 2020",80.94,80.98,81.27,80.98,0.44%
30,"Dec 01, 2020",80.58,80.97,81.06,80.97,-0.48%
31,"Nov 30, 2020",80.97,81.29,81.29,80.56,0.06%
32,"Nov 29, 2020",80.93,80.62,80.93,80.44,0.19%
33,"Nov 28, 2020",80.93,80.62,80.93,80.44,0.19%
34,"Nov 27, 2020",80.93,80.62,80.93,80.44,0.19%
35,"Nov 26, 2020",80.77,80.52,80.76,80.52,0.48%
36,"Nov 25, 2020",80.39,80.46,80.73,80.43,-0.18%
37,"Nov 24, 2020",80.53,80.86,80.86,80.44,-0.24%
38,"Nov 23, 2020",80.72,81.05,81.05,80.22,-0.03%
39,"Nov 22, 2020",80.75,81.02,81.02,80.78,-0.27%
40,"Nov 21, 2020",80.75,81.02,81.02,80.78,-0.27%
41,"Nov 20, 2020",80.75,81.02,81.02,80.78,-0.27%
42,"Nov 19, 2020",80.97,80.98,81.12,80.83,0.54%
43,"Nov 18, 2020",80.54,80.61,80.65,80.36,-0.08%
44,"Nov 17, 2020",80.6,81.25,81.25,80.52,-0.22%
45,"Nov 16, 2020",80.78,80.73,80.89,80.59,0.02%
46,"Nov 15, 2020",80.76,81.05,81.05,80.67,0.04%
47,"Nov 14, 2020",80.76,81.05,81.05,80.67,0.04%
48,"Nov 13, 2020",80.76,81.05,81.05,80.67,0.04%
49,"Nov 12, 2020",80.74,80.45,80.8,80.45,0.80%
50,"Nov 11, 2020",80.1,79.54,80.15,79.54,-0.12%
51,"Nov 10, 2020",80.19,80.85,80.85,79.82,-0.61%
52,"Nov 09, 2020",80.68,80.92,81.59,80.68,-0.43%
53,"Nov 08, 2020",81.04,81.41,81.42,81.09,-0.44%
54,"Nov 07, 2020",81.04,81.41,81.42,81.09,-0.44%
55,"Nov 06, 2020",81.04,81.41,81.42,81.09,-0.44%
56,"Nov 05, 2020",81.39,81.85,82.11,81.38,-0.23%
57,"Nov 04, 2020",81.58,81.47,81.64,81.09,1.42%
58,"Nov 03, 2020",80.44,81.01,81.01,80.37,-1.09%
59,"Nov 02, 2020",81.32,80.98,81.47,80.98,0.59%
60,"Nov 01, 2020",80.85,81.47,81.47,80.99,-0.60%
61,"Oct 31, 2020",80.85,81.47,81.47,80.99,-0.60%
62,"Oct 30, 2020",80.85,81.47,81.47,80.99,-0.60%
63,"Oct 29, 2020",81.33,81.36,81.58,81.3,0.13%
64,"Oct 28, 2020",81.23,81.46,81.46,80.95,0.31%
65,"Oct 27, 2020",80.97,80.84,81.04,80.84,-0.09%
66,"Oct 26, 2020",81.05,81.18,81.18,80.76,0.24%
67,"Oct 25, 2020",80.86,80.61,80.93,80.46,0.45%
68,"Oct 24, 2020",80.86,80.61,80.93,80.46,0.45%
69,"Oct 23, 2020",80.86,80.61,80.93,80.46,0.45%
70,"Oct 22, 2020",80.5,80.68,80.68,80.12,-0.01%
71,"Oct 21, 2020",80.5,81.27,81.27,80.51,-1.22%
72,"Oct 20, 2020",81.5,81.36,81.83,81.18,0.14%
73,"Oct 19, 2020",81.39,81.46,81.73,80.87,-0.41%
74,"Oct 18, 2020",81.72,81.89,82.19,81.4,0.03%
75,"Oct 17, 2020",81.72,81.89,82.19,81.4,0.03%
76,"Oct 16, 2020",81.72,81.89,82.19,81.4,0.03%
77,"Oct 15, 2020",81.69,81.74,81.88,81.48,0.62%
78,"Oct 14, 2020",81.19,81.94,81.94,81.01,-0.25%
79,"Oct 13, 2020",81.39,81.22,81.55,80.93,0.70%
80,"Oct 12, 2020",80.82,81.0,81.14,80.48,-0.30%
81,"Oct 11, 2020",81.07,81.19,81.68,81.13,-0.39%
82,"Oct 10, 2020",81.07,81.19,81.68,81.13,-0.39%
83,"Oct 09, 2020",81.07,81.19,81.68,81.13,-0.39%
84,"Oct 08, 2020",81.39,81.28,81.46,81.12,0.09%
85,"Oct 07, 2020",81.32,81.14,81.85,81.14,0.26%
86,"Oct 06, 2020",81.11,80.99,81.18,80.93,0.10%
87,"Oct 05, 2020",81.03,81.53,81.53,80.99,-0.14%
88,"Oct 04, 2020",81.14,81.47,81.47,80.84,-0.34%
89,"Oct 03, 2020",81.14,81.47,81.47,80.84,-0.34%
90,"Oct 02, 2020",81.14,81.47,81.47,80.84,-0.34%
91,"Oct 01, 2020",81.42,81.7,81.89,81.08,0.20%
92,"Sep 30, 2020",81.26,81.83,81.83,81.26,-0.56%
93,"Sep 29, 2020",81.72,81.51,81.82,81.51,0.28%
94,"Sep 28, 2020",81.49,81.87,81.87,81.25,-0.85%
95,"Sep 27, 2020",82.18,82.02,82.18,81.97,-0.09%
96,"Sep 26, 2020",82.18,82.02,82.18,81.97,-0.09%
97,"Sep 25, 2020",82.18,82.02,82.18,81.97,-0.09%
98,"Sep 24, 2020",82.25,82.39,82.39,82.29,-0.16%
99,"Sep 23, 2020",82.39,82.96,83.0,82.21,-0.24%
100,"Sep 22, 2020",82.58,82.24,82.6,82.07,0.25%
101,"Sep 21, 2020",82.38,81.69,82.31,81.69,0.78%
