,Date,Price,Open,High,Low,Change %
0,"Dec 31, 2020",89.94,89.61,89.98,89.52,0.29%
1,"Dec 30, 2020",89.68,89.98,89.98,89.56,-0.34%
2,"Dec 29, 2020",89.99,90.21,90.23,89.85,-0.39%
3,"Dec 28, 2020",90.34,90.22,90.38,89.98,0.02%
4,"Dec 27, 2020",90.32,90.33,90.42,90.22,0.00%
5,"Dec 26, 2020",90.32,90.33,90.42,90.22,0.00%
6,"Dec 25, 2020",90.32,90.33,90.42,90.22,0.00%
7,"Dec 24, 2020",90.32,90.28,90.38,90.15,-0.10%
8,"Dec 23, 2020",90.41,90.52,90.67,90.16,-0.26%
9,"Dec 22, 2020",90.65,90.09,90.72,90.06,0.68%
10,"Dec 21, 2020",90.04,89.92,91.02,89.92,0.02%
11,"Dec 20, 2020",90.02,89.83,90.13,89.83,0.22%
12,"Dec 19, 2020",90.02,89.83,90.13,89.83,0.22%
13,"Dec 18, 2020",90.02,89.83,90.13,89.83,0.22%
14,"Dec 17, 2020",89.82,90.27,90.27,89.73,-0.70%
15,"Dec 16, 2020",90.45,90.49,90.7,90.13,-0.02%
16,"Dec 15, 2020",90.47,90.69,90.82,90.42,-0.26%
17,"Dec 14, 2020",90.71,90.98,90.98,90.42,-0.30%
18,"Dec 13, 2020",90.98,90.74,91.04,90.62,0.18%
19,"Dec 12, 2020",90.98,90.74,91.04,90.62,0.18%
20,"Dec 11, 2020",90.98,90.74,91.04,90.62,0.18%
21,"Dec 10, 2020",90.82,91.06,91.15,90.67,-0.30%
22,"Dec 09, 2020",91.09,90.92,91.2,90.69,0.13%
23,"Dec 08, 2020",90.97,90.9,91.02,90.75,0.20%
24,"Dec 07, 2020",90.79,90.81,91.24,90.62,0.10%
25,"Dec 06, 2020",90.7,90.71,90.87,90.48,-0.01%
26,"Dec 05, 2020",90.7,90.71,90.87,90.48,-0.01%
27,"Dec 04, 2020",90.7,90.71,90.87,90.48,-0.01%
28,"Dec 03, 2020",90.71,91.06,91.09,90.51,-0.45%
29,"Dec 02, 2020",91.12,91.19,91.5,90.99,-0.21%
30,"Dec 01, 2020",91.31,91.94,91.94,91.16,-0.61%
31,"Nov 30, 2020",91.87,91.78,92.05,91.51,0.09%
32,"Nov 29, 2020",91.79,92.02,92.05,91.76,-0.22%
33,"Nov 28, 2020",91.79,92.02,92.05,91.76,-0.22%
34,"Nov 27, 2020",91.79,92.02,92.05,91.76,-0.22%
35,"Nov 26, 2020",91.99,91.95,92.17,91.84,0.00%
36,"Nov 25, 2020",91.99,92.11,92.26,91.93,-0.26%
37,"Nov 24, 2020",92.23,92.53,92.56,92.13,-0.29%
38,"Nov 23, 2020",92.5,92.4,92.8,92.02,0.12%
39,"Nov 22, 2020",92.39,92.34,92.43,92.21,0.11%
